"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOPQSHKOLLCDEFOCD00799192";2023;1;1;1;41;"N";8;156;2;"";1;1;"";4;1;1;1;"";1;1;1;3;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;72000;"2";"2";"2";"";"2";"3";72000;"6";"6";"7";"";"6";"9";186;1;0;98;0;0;0
"TQRMNOQYSHKOLLCDEFOCD00776828";2023;1;2;1;41;"N";8;102;1;"";1;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;32000;"1";"1";"1";"";"1";"1";32000;"2";"2";"3";"";"2";"4";100;1;0;98;0;0;0
"TQRMNOPSSHLOKPCDEIMBF00719990";2023;1;1;1;43;"N";36;129;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;120000;"3";"4";"3";"";"4";"4";120000;"8";"8";"8";"";"8";"8";135;1;0;98;0;0;0
"TQRMNOPRXHMOLLCDEIMBF00802905";2023;1;1;1;43;"N";36;168;1;"";3;2;"";4;2;2;1;"";1;1;2;3;2;2;1;3;2;2;0;1;2;2;2;0;2;0;2;"";2;"";1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;0;2;55000;"1";"1";"1";"";"1";"1";27500;"2";"2";"1";"";"2";"1";160;1;0;98;0;0;0
"TQRMNOQXVHJOKSCDEIMBF00796015";2023;1;1;1;43;"N";36;115;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;0;2;120000;"3";"4";"3";"";"4";"4";60000;"5";"5";"4";"";"5";"4";123;2;0;98;0;0;0
"TQRMNORWQHJNKTCDEIMBF00795162";2023;1;1;1;43;"N";36;123;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;159000;"5";"5";"5";"";"5";"5";31800;"2";"2";"2";"";"2";"2";137;2;0;98;0;0;0
"TQRMNORTUHJOKSCDEFMDB00795449";2023;1;1;1;43;"N";6;241;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;140000;"4";"4";"4";"";"4";"4";140000;"9";"9";"9";"";"9";"9";261;1;0;98;0;0;0
"TQRMNORXRHJMLQCDEGPDJ00795365";2023;1;1;1;40;"N";19;188;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;257000;"8";"8";"8";"";"8";"8";85666,67;"7";"7";"8";"";"7";"8";185;3;0;98;0;0;0
"TQRMNORPSHMMKNCDEIGED00801512";2023;1;1;1;43;"N";30;209;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;1;98;0;0;0
"TQRMNORQRHMMKNCDEIGED00801513";2023;1;1;1;43;"N";30;154;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;3;0;0;0
"TQRMNOPQRHMMKOCDEIGED00801514";2023;1;1;1;43;"N";30;149;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;130000;"4";"4";"4";"";"4";"4";130000;"8";"9";"8";"";"9";"8";217;97;0;1;0;0;0
"TQTMNOQWUHLMKMCDEIGED00801515";2023;1;1;1;43;"N";30;138;2;"";1;2;"";4;1;1;1;"";1;1;2;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;2;2;49000;"1";"1";"1";"";"1";"1";12250;"1";"1";"1";"";"1";"1";213;1;4;98;0;0;0
"TQRMNORSYHKMKNCDEIGED00801516";2023;1;1;1;43;"N";30;131;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;235000;"7";"7";"7";"";"7";"7";117500;"8";"8";"8";"";"8";"7";202;2;1;98;0;0;0
"TQRMNORUXHMMKPCDEIGED00801517";2023;1;1;1;43;"N";30;128;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;165000;"5";"5";"5";"";"5";"5";82500;"6";"7";"6";"";"7";"5";197;1;0;98;0;0;0
"TQRMNOQYXHLNKNCDEIGED00717931";2023;1;1;1;43;"N";30;101;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;195000;"6";"6";"6";"";"6";"6";195000;"9";"10";"10";"";"10";"9";114;1;0;98;0;0;0
"TQRMNORWRHKOKPCDEGLDF00777944";2023;1;1;1;41;"N";15;202;1;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;1;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;97;0;0;0
"TQRMNOPRUHJMKSCDEGLDF00795651";2023;1;2;1;41;"N";15;125;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;2;0;0;0
