"fecha","ripte_priv","ist_nom_priv","ist_nom_pub","haber_minimo","sipa_prom_priv","sipa_med_priv"
2002-02-01,887.02,NA,NA,150,852.26,501.25
2002-03-01,882.39,NA,NA,150,839.09,500.99
2002-04-01,882.13,NA,NA,150,836.76,504
2002-05-01,882.12,NA,NA,150,840.09,506.92
2002-06-01,874.52,NA,NA,150,1204.94,727.2
2002-07-01,906.76,NA,NA,150,869.14,544.17
2002-08-01,885.3,NA,NA,150,867.47,545.81
2002-09-01,891.87,NA,NA,150,868.73,544.92
2002-10-01,900.78,NA,NA,150,902.16,561.81
2002-11-01,894.65,NA,NA,150,885.77,554.8
2002-12-01,900.69,NA,NA,150,1316.54,789.59
2003-01-01,882.03,NA,NA,150,979.81,593.45
2003-02-01,890.6,NA,NA,150,947.12,584.99
2003-03-01,892.09,NA,NA,150,961.15,599.13
2003-04-01,889.92,NA,NA,150,947.83,599.71
2003-05-01,887.23,NA,NA,150,947.96,633.56
2003-06-01,903.82,NA,NA,150,1338.85,855
2003-07-01,918.96,NA,NA,220,967.54,649.84
2003-08-01,941.34,NA,NA,220,970.19,651.88
2003-09-01,971.97,NA,NA,220,985.84,666.79
2003-10-01,1008.52,NA,NA,220,1018.61,683.4
2003-11-01,1020.36,NA,NA,220,1012.95,681.51
2003-12-01,1040.73,NA,NA,220,1521.15,1002
2004-01-01,1065.01,NA,NA,240,1145.96,751.46
2004-02-01,1090.92,NA,NA,240,1131.09,760.3
2004-03-01,1102.42,NA,NA,240,1161.59,773.49
2004-04-01,1099.03,NA,NA,240,1131.9,771.52
2004-05-01,1088.57,NA,NA,240,1107.73,767.45
2004-06-01,1100.62,NA,NA,260,1593.52,1099.9
2004-07-01,1087.79,NA,NA,260,1105.03,767.06
2004-08-01,1085.02,NA,NA,260,1106.81,767.94
2004-09-01,1083.64,NA,NA,308,1109.56,768.95
2004-10-01,1088.43,NA,NA,308,1125.36,767.72
2004-11-01,1090.41,NA,NA,308,1115.9,770.32
2004-12-01,1102.69,NA,NA,308,1676.47,1128.97
2005-01-01,1101.82,NA,NA,308,1277.73,854.71
2005-02-01,1102.37,NA,NA,308,1214.67,839.53
2005-03-01,1113.64,NA,NA,308,1270.18,856.4
2005-04-01,1156.06,NA,NA,308,1263.4,883.94
2005-05-01,1170.58,NA,NA,308,1252.74,889.75
2005-06-01,1196.59,NA,NA,308,1793.65,1247.53
2005-07-01,1231.34,NA,NA,350,1285.13,943.46
2005-08-01,1277.97,NA,NA,350,1315.89,992.16
2005-09-01,1304.53,NA,NA,390,1364.53,1011.81
2005-10-01,1352.94,NA,NA,390,1370.78,1022.78
2005-11-01,1366.43,NA,NA,390,1402.53,1027.88
2005-12-01,1371.54,NA,NA,390,2090.09,1532.09
2006-01-01,1388.13,NA,NA,390,1548.05,1075.05
2006-02-01,1407.77,NA,NA,390,1483.14,1050.4
2006-03-01,1441.65,NA,NA,390,1544.75,1077.3
2006-04-01,1465.06,NA,NA,390,1527.46,1095.75
2006-05-01,1502.34,NA,NA,390,1551.59,1144.6
2006-06-01,1527.82,NA,NA,470,2237.93,1659.76
2006-07-01,1554.83,NA,NA,470,1589.75,1176.48
2006-08-01,1583.35,NA,NA,470,1624.65,1215.85
2006-09-01,1596.46,NA,NA,470,1648.89,1226.04
2006-10-01,1634.32,NA,NA,470,1654.53,1229.91
2006-11-01,1641.74,NA,NA,470,1656.15,1233.49
2006-12-01,1672.88,NA,NA,470,2477.02,1823.12
2007-01-01,1693.86,NA,NA,530,1844.19,1297.16
2007-02-01,1728.39,NA,NA,530,1761.72,1267.39
2007-03-01,1764.52,NA,NA,530,1851.55,1295.7
2007-04-01,1815.39,NA,NA,530,1827.84,1310.52
2007-05-01,1830.07,NA,NA,530,1852.81,1366.35
2007-06-01,1837.71,NA,NA,530,2678.83,2009
2007-07-01,1896.64,NA,NA,530,1924.27,1438.03
2007-08-01,1941.51,NA,NA,530,1974.06,1457.32
2007-09-01,1946.53,NA,NA,596.25,1991.86,1474.7
2007-10-01,2019.04,NA,NA,596.25,2045.38,1526.27
2007-11-01,2020.25,NA,NA,596.25,2046.06,1527.89
2007-12-01,2042.46,NA,NA,596.25,3074.12,2281.63
2008-01-01,2050.27,NA,NA,596.25,2299.14,1633.74
2008-02-01,2130.98,NA,NA,596.25,2241.38,1643.41
2008-03-01,2190.53,NA,NA,655,2308.81,1648.96
2008-04-01,2336.11,NA,NA,655,2379.11,1733.32
2008-05-01,2383.41,NA,NA,655,2412.15,1800.92
2008-06-01,2400.12,NA,NA,655,3457.79,2576.14
2008-07-01,2485.91,NA,NA,690,2530.74,1891.03
2008-08-01,2530.74,NA,NA,690,2557.91,1914.68
2008-09-01,2585.35,NA,NA,690,2640.95,1986.73
2008-10-01,2628.32,NA,NA,690,2683.88,2003.02
2008-11-01,2592.17,NA,NA,690,2641.97,1972
2008-12-01,2625.44,NA,NA,690,3995.29,2967.48
2009-01-01,2594.54,NA,NA,690,2907.11,2050
2009-02-01,2578.64,NA,NA,690,2791.44,2014.08
2009-03-01,2681.73,NA,NA,770,2869.86,2025.53
2009-04-01,2731.19,NA,NA,770,2885.72,2157.8
2009-05-01,2698.39,NA,NA,770,2886.88,2223.66
2009-06-01,2780.38,NA,NA,770,4245.81,3263.85
2009-07-01,2803.3,NA,NA,770,2991.46,2277.19
2009-08-01,2829.14,NA,NA,770,3026.88,2286.15
2009-09-01,2752.01,NA,NA,827.23,3112.32,2322
2009-10-01,2795.21,NA,NA,827.23,3135.62,2334.71
2009-11-01,2789.73,NA,NA,827.23,3110.03,2321.91
2009-12-01,3015.95,NA,NA,827.23,4723.81,3501.62
2010-01-01,3011.99,NA,NA,827.23,3468.61,2481.36
2010-02-01,3110.52,NA,NA,827.23,3376.54,2474.04
2010-03-01,3233.2,NA,NA,895.15,3578.79,2534.38
2010-04-01,3305.06,NA,NA,895.15,3546.73,2557.3
2010-05-01,3340.58,NA,NA,895.15,3575.29,2635.36
2010-06-01,3399.89,NA,NA,895.15,5323,4200
