"fecha","ipc_nivel_general","div01_alimentos","div02_bebidas","div03_prendas","div04_vivienda","div05_equipamiento","div06_salud","div07_transporte","div08_comunicacion","div09_recreacion","div10_educacion","div11_restaurantes","div12_bienes_varios","ipc_regulados"
2023-01-01,1202.979,1268.3385,1017.8777,1402.845,929.1621,1210.6926,1291.7546,1257.1122,903.9001,1136.1135,902.0686,1275.6081,1062.9991,991.5192
2023-02-01,1282.7091,1392.3999,1071.1087,1457.7661,973.7901,1271.8967,1360.5006,1318.1813,974.8005,1205.9377,930.4868,1371.9038,1131.9624,1042.4951
2023-03-01,1381.1601,1522.5337,1159.8526,1595.0861,1037.2344,1345.7519,1438.3163,1388.1661,993.4553,1258.7738,1201.1258,1479.9582,1203.4429,1128.8908
2023-04-01,1497.2147,1677.0441,1203.7907,1768.0967,1095.5146,1462.0471,1532.9719,1477.7098,1055.7168,1353.7339,1261.5273,1626.3026,1282.7938,1184.1465
2023-05-01,1613.5895,1774.4119,1305.3763,1903.1899,1225.368,1590.1014,1671.6594,1597.93,1126.7574,1466.9417,1323.5067,1778.1049,1373.9512,1291.1045
2023-06-01,1709.6115,1848.0332,1364.1997,1983.4012,1324.556,1717.2201,1815.4471,1701.7574,1244.8,1561.7425,1410.4778,1890.0322,1464.0524,1383.8634
2023-07-01,1818.0838,1954.5101,1487.5243,2043.7327,1377.3341,1822.9318,1979.4087,1791.7559,1396.2642,1736.5158,1496.9625,2030.866,1556.5397,1476.8552
2023-08-01,2044.2832,2259.2334,1613.6846,2230.5776,1503.1732,2079.2711,2281.5545,1979.0901,1458.9608,1937.7153,1626.7843,2283.6173,1702.3856,1599.0767
2023-09-01,2304.9242,2583.3826,1799.9953,2581.0642,1630.2974,2342.3942,2499.2627,2193.7362,1598.7345,2230.9342,1759.2371,2586.0182,1901.2072,1732.073
2023-10-01,2496.273,2782.4454,1977.1526,2864.6053,1757.5929,2592.8927,2626.9102,2349.1266,1800.8697,2438.4348,1875.3143,2813.2083,2046.9768,1846.7566
2023-11-01,2816.0628,3218.3702,2209.6412,3151.4751,1881.818,2915.5922,3043.8555,2593.1752,2074.7351,2760.0532,2031.1533,3151.623,2282.6739,2032.4708
2023-12-01,3533.1922,4173.6759,2656.6774,3694.929,2141.8205,3810.0606,4035.9697,3414.0727,2398.1411,3317.3409,2157.4419,3831.9303,3029.3357,2452.7844
2024-01-01,4261.5324,5024.9656,3215.0859,4135.7944,2441.8481,4660.7816,4861.4923,4311.5901,3000.0919,4113.85,2176.0052,4577.1896,4373.2672,3104.5367
2024-02-01,4825.7881,5622.8372,3783.276,4434.676,2935.5879,5142.1336,5521.4252,5243.4233,3741.4942,4466.7506,2392.1354,5088.0444,5098.6735,3759.784
2024-03-01,5357.0929,6216.0451,4248.8502,4919.1559,3324.6647,5400.7512,6195.6447,5923.314,4338.0607,4846.7452,3653.0356,5511.0135,5586.4345,4441.3132
2024-04-01,5830.2271,6590.0877,4481.9882,5392.8345,4509.3648,5751.7902,6761.4824,6293.903,4952.6903,5192.8995,3966.8821,5912.6182,5903.8543,5258.2523
2024-05-01,6073.7,6909.5535,4781.4925,5584.1343,4623.3551,5937.4758,6807.8755,6544.312,5359.4587,5429.4701,4269.9374,6240.627,6157.7063,5469.5
2024-06-01,6351.7145,7117.2232,4880.2257,5736.1025,5283.2155,6073.2079,7130.9268,6801.4888,5644.1836,5734.3613,4514.8581,6632.3116,6327.35,5910.154
2024-07-01,6607.7479,7345.4071,5178.7502,5829.6937,5600.4988,6282.946,7548.0608,6978.9894,5844.002,6059.3057,4704.182,7061.2046,6545.9203,6166.198
2024-08-01,6883.4412,7611.7813,5336.2611,5949.5541,5995.2852,6550.7845,7860.4897,7334.9917,6127.5967,6282.238,5013.1678,7403.1627,6694.7187,6529.3696
2024-09-01,7122.2421,7787.1421,5453.5896,6308.9971,6433.362,6727.2351,8122.6169,7585.411,6310.1757,6416.1845,5229.2692,7673.8443,6918.4736,6825.2577
2024-10-01,7313.9542,7880.5855,5617.0301,6588.1894,6780.4099,6903.0355,8412.0394,7677.7334,6440.16,6599.9443,5409.7822,8000.7985,7112.7304,7009.2808
2024-11-01,7491.4314,7952.0427,5841.4971,6713.0284,7083.0305,7007.1565,8657.936,7939.9441,6539.2377,6798.7313,5686.2954,8290.1033,7275.1468,7257.6652
2024-12-01,7694.0075,8127.7647,5987.6081,6817.1412,7457.2259,7073.5091,8840.1889,8118.1059,6869.1427,6988.4998,5812.5191,8670.0443,7430.8945,7502.5373
2025-01-01,7864.1257,8278.1147,6132.7085,6772.1731,7757.8158,7187.8539,9050.371,8217.8419,7030.3817,7160.6092,5844.2136,9132.8654,7614.4036,7698.607
2025-02-01,8052.9927,8546.6547,6212.9468,6800.5997,8048.663,7260.6442,9236.2844,8359.8681,7191.0294,7370.3538,5980.8655,9339.177,7837.1446,7877.3099
2025-03-01,8353.3158,9051.2822,6262.1312,7112.5925,8279.5282,7368.221,9406.4734,8502.5399,7371.0947,7382.2025,7275.3457,9702.5819,8084.5484,8129.994
2025-04-01,8585.6078,9318.2093,6440.2537,7385.4063,8435.1033,7437.0978,9641.606,8644.5585,7577.0727,7676.2045,7455.8399,10102.2226,8290.2259,8273.8986
2025-05-01,8714.4871,9365.3121,6477.8365,7453.7558,8641.5515,7540.4993,9905.8259,8676.0013,7889.7331,7807.3673,7595.3193,10406.4718,8504.0579,8382.4957
2025-06-01,8855.5681,9418.0826,6658.8334,7490.0195,8939.0041,7683.5823,10119.3057,8816.3323,8030.954,8000.1427,7875.8853,10624.8993,8588.9464,8569.0645
2025-07-01,9023.973,9596.7407,6701.1649,7420.9382,9071.797,7801.8271,10234.5966,9061.1273,8214.616,8384.8501,8027.0607,10917.6195,8772.9432,8766.629
