IPCBA (base 2021 = 100) según principales aperturas. Índice mensual. Ciudad de Buenos Aires. Febrero de 2022 / julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apertura,Índice ¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,01/01/2023,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,01/01/2024,02/01/2024,03/01/2024,04/01/2024,05/01/2024,06/01/2024,07/01/2024,08/01/2024,09/01/2024,10/01/2024,11/01/2024,12/01/2024,01/01/2025,02/01/2025,03/01/2025,04/01/2025,05/01/2025,06/01/2025,07/01/2025,08/01/2025,09/01/2025,10/01/2025,11/01/2025,12/01/2025,01/01/2026,02/01/2026,03/01/2026,04/01/2026,05/01/2026,06/01/2026,07/01/2026
Artículos textiles para el hogar,126.82,132.73,140.13,143.24,150.26,163.25,183.06,191.29,196.57,207.28,223.16,232.48,240.84,256.08,273.44,299.21,324.12,347.66,398.99,444.3,512.51,576.87,710.28,852.85,879.43,915.98,946.25,963.49,998.08,1009.61,1020.2,1042.31,1054.57,1073.35,1093.19,1120.94,1126.71,1151.03,1189.44,1202.45,1218.09,1222.39,1227.49,1268.77,1280.26,1297.85,1339.2,1337.62,1335.2,1347.16,1394.47,1390.07,1405.27,1407.18
Electrodomésticos,122.44,125.66,130.82,136.66,142.18,167.71,181.23,187.46,196.03,200.42,216.52,231.13,250.68,269.84,295.55,325.22,349.51,363,459.76,525.7,595.02,701.16,966.01,1032.6,1056.72,1083.48,1118.81,1140.77,1169.2,1215.1,1262.23,1329.04,1331.94,1355.96,1369.71,1356.97,1330.88,1317.1,1322.99,1279.45,1273.94,1268.11,1250.11,1264.94,1250.78,1267.88,1279.87,1295.75,1298.88,1316.84,1310.41,1306.22,1318.26,1334.57
"Cristalería, vajilla y utensilios para el hogar",133.77,135.6,143.32,151.09,157.4,181.7,198.85,214.22,232,236.87,254.4,262.36,279.11,284.65,313.22,344.28,363.13,387.44,473.19,570.42,633.44,715.48,867.59,1055.49,1140.27,1194.45,1190.58,1188.64,1233.87,1243.74,1255.06,1323.46,1328.3,1353.98,1363.33,1400.33,1397.75,1393.6,1444.14,1438.3,1464.51,1467.57,1427.48,1505.35,1545.83,1621.13,1555.49,1576,1601.84,1628.66,1609.79,1635.91,1622.04,1672.35
Herramientas y accesorios para la casa y el jardín,123.05,127.87,130.91,136.94,141.61,160.53,171.27,186.85,194.36,210.56,222.63,238.14,255.44,269.21,288.18,312.76,328.93,346.79,389,457.99,506.52,592.14,742.37,989.52,1061.56,1120.91,1160.39,1204.3,1219.66,1214.52,1211.24,1243.07,1191.77,1235.03,1207.46,1193.85,1201.29,1201.82,1227.95,1243.35,1264.65,1272.27,1285.78,1294.55,1312.76,1340.83,1373.07,1417.49,1407.66,1439.05,1466.03,1470.43,1483.67,1510.04
Bienes y servicios para la conservación del hogar,141.92,154.9,157.98,171.07,187.17,191.47,206.73,219.13,234.65,248.79,265.48,278.42,290.02,304.59,333.16,354.09,375.4,394.88,426.62,459.51,501.58,554.89,645.52,799.11,871.13,975.54,1066.91,1151.74,1191.03,1194.29,1212.31,1296.13,1357.11,1413.85,1419.14,1456.58,1476.57,1491.25,1514.07,1517.53,1525.83,1536.49,1558.9,1590.71,1616.42,1642.01,1674.61,1703.41,1776.18,1863.45,1923.79,1998.12,2105.54,2195.57
Salud,129.7,136.97,144.07,154.41,167.06,175.63,191.38,194.23,211.48,215.49,228.99,242.21,258.76,276.52,287.5,305.2,325.78,351.74,389.89,423.81,449.03,507.49,606.13,789.71,956.24,1118.08,1263.61,1210.39,1262.91,1355.3,1428.94,1500.22,1568.2,1634.54,1694.55,1748.43,1801.06,1842.54,1886.64,1941.37,1991.24,2027.93,2070.2,2111.16,2153.84,2196.84,2250.96,2300.75,2368.99,2424.85,2484.76,2560.36,2634.9,2697.47
Medicamentos y productos medicinales,124.57,130.61,137.7,146.6,155.58,167.28,175.24,183.56,193.93,204.51,215.24,224.77,236.28,249.23,267.58,295.86,325.31,352.79,413.61,462.5,478.12,578.73,794.12,945.63,1040.63,1154.32,1222.98,1266.45,1315.29,1379.75,1424.3,1464.34,1497.89,1529.56,1552.35,1575.19,1602.42,1630.42,1661.68,1697.51,1728.4,1753.33,1781.62,1809.62,1840.22,1871.09,1911.55,1945.53,1991.58,2035.44,2078.79,2126.28,2181.12,2213.22
Medicamentos,124.76,130.78,138.07,147.3,156.64,168.15,174.7,183.39,194.36,204.82,215.58,224.5,235.57,248.31,266.58,295.57,326.89,355.3,419.89,467.93,479,583.68,810.24,963.83,1060.83,1181.03,1251.22,1294.81,1340.76,1403.84,1444.91,1484.26,1517.12,1548.59,1569.39,1588.74,1615.09,1634.83,1664.11,1703.39,1731.58,1756.44,1781.33,1809.63,1839.62,1872.53,1911.96,1947.25,1991.71,2034.23,2081,2131.87,2191.76,2230.97
Productos medicinales,121.04,125.9,132.3,138.91,144.91,156.67,177.65,189.52,197.58,206.93,216.69,231.63,245.48,257.44,279.19,298.02,315.09,336.58,373.71,447.96,486.43,570.25,791.35,1014.22,1134.17,1224.81,1268.28,1291.88,1313.21,1332.71,1354.49,1360.09,1367.64,1391.86,1445.4,1473.85,1470.75,1532.39,1553.21,1573.47,1596.11,1611.41,1631.75,1629.26,1662.61,1682.81,1729.12,1745.93,1786.78,1867.71,1861.28,1896.24,1912.85,1955.82
Artefactos y equipos terapéuticos,123.86,130.34,135.96,142.77,149.45,162.67,179.07,183.58,189.8,201.52,212.22,225.34,239.96,254.74,272.98,297.72,315,336.39,372.49,422.73,469.38,541.43,667.17,786.81,860.54,927.66,989.67,1036.48,1114.11,1199.22,1276.22,1329.18,1373.77,1408.66,1440.61,1489.78,1530.62,1616.72,1665.8,1677.69,1731.82,1759.35,1816.29,1848.5,1883.3,1900.31,1947.73,1975.05,2034.83,2081.24,2108.31,2131.72,2154.84,2128.25
